Compound,Date,Negative,Neutral,Positive,Tweets ago
0.6696,Mon Jun 11 00:06:39 +0000 2018,0.64,0.0,0.36,86
0.0,Mon Jun 11 00:04:15 +0000 2018,1.0,0.0,0.0,87
0.0,Sun Jun 10 23:59:00 +0000 2018,1.0,0.0,0.0,88
0.0,Sun Jun 10 23:18:15 +0000 2018,1.0,0.0,0.0,89
0.0,Sun Jun 10 22:01:25 +0000 2018,1.0,0.0,0.0,90
0.4184,Sun Jun 10 15:00:01 +0000 2018,0.843,0.0,0.157,91
0.5093,Sat Jun 09 21:00:02 +0000 2018,0.845,0.0,0.155,92
0.0,Sat Jun 09 16:00:00 +0000 2018,1.0,0.0,0.0,93
0.296,Fri Jun 08 19:46:17 +0000 2018,0.82,0.0,0.18,94
0.0,Fri Jun 08 15:00:03 +0000 2018,1.0,0.0,0.0,95
0.9078,Fri Jun 08 13:58:15 +0000 2018,0.564,0.0,0.436,96
0.3612,Thu Jun 07 17:03:26 +0000 2018,0.872,0.0,0.128,97
0.2732,Wed Jun 06 21:00:24 +0000 2018,0.719,0.105,0.176,98
0.3595,Wed Jun 06 00:08:30 +0000 2018,0.872,0.0,0.128,99
-0.4404,Tue Jun 05 22:23:35 +0000 2018,0.723,0.177,0.1,100
